pair,session,n_significant_moves_365d,n_traps,trap_pct_of_significant,top_event_drivers
EURUSD,Asia,23,11,47.82608695652174,
EURUSD,London,18,1,5.555555555555555,"us_claims (n=3, dir=up, conc=67%, persist=1%) | us_refunding (n=2, dir=up, conc=100%, persist=85%) | us_nfp (n=2, dir=down, conc=100%, persist=56%)"
EURUSD,Overlap,21,3,14.285714285714285,"us_claims (n=5, dir=up, conc=60%, persist=29%) | cb_rate_decision (n=1, dir=up, conc=100%, persist=12%) | cb_press_conference (n=1, dir=up, conc=100%, persist=12%)"
EURUSD,NY,21,2,9.523809523809524,"cb_rate_decision (n=6, dir=up, conc=83%, persist=49%) | cb_press_conference (n=6, dir=up, conc=83%, persist=49%) | cot_release_neutral (n=2, dir=up, conc=100%, persist=0%)"
GBPUSD,Asia,20,9,45.0,
GBPUSD,London,19,5,26.31578947368421,"us_claims (n=4, dir=up, conc=50%, persist=36%) | us_ppi (n=2, dir=down, conc=100%, persist=23%) | us_cpi (n=1, dir=down, conc=100%, persist=17%)"
GBPUSD,Overlap,21,3,14.285714285714285,"us_claims (n=8, dir=up, conc=50%, persist=70%) | cb_rate_decision (n=2, dir=up, conc=50%, persist=92%) | us_pce (n=2, dir=up, conc=50%, persist=50%)"
GBPUSD,NY,21,4,19.047619047619047,"cb_rate_decision (n=6, dir=up, conc=83%, persist=50%) | cb_press_conference (n=6, dir=up, conc=83%, persist=50%) | cot_release_neutral (n=2, dir=up, conc=100%, persist=100%)"
USDJPY,Asia,24,5,20.833333333333336,"cb_rate_decision (n=3, dir=down, conc=67%, persist=74%) | jp_unemp (n=1, dir=up, conc=100%, persist=100%)"
USDJPY,London,25,5,20.0,"us_claims (n=4, dir=up, conc=75%, persist=47%) | us_nfp (n=3, dir=down, conc=67%, persist=88%) | us_unrate (n=3, dir=down, conc=67%, persist=88%)"
USDJPY,Overlap,19,1,5.263157894736842,"us_claims (n=6, dir=down, conc=67%, persist=33%) | us_retail (n=1, dir=up, conc=100%, persist=21%) | us_refunding (n=1, dir=up, conc=100%, persist=4%)"
USDJPY,NY,18,10,55.55555555555556,"cb_rate_decision (n=5, dir=up, conc=80%, persist=80%) | cb_press_conference (n=5, dir=up, conc=80%, persist=80%) | cot_release_neutral (n=1, dir=up, conc=100%, persist=0%)"
USDCHF,Asia,24,11,45.83333333333333,
USDCHF,London,19,4,21.052631578947366,"us_claims (n=4, dir=up, conc=50%, persist=38%) | us_refunding (n=2, dir=up, conc=100%, persist=81%) | us_nfp (n=2, dir=down, conc=100%, persist=72%)"
USDCHF,Overlap,19,2,10.526315789473683,"us_claims (n=3, dir=down, conc=67%, persist=44%) | us_retail (n=2, dir=up, conc=50%, persist=46%) | us_ppi (n=2, dir=up, conc=50%, persist=54%)"
USDCHF,NY,19,3,15.789473684210526,"cb_rate_decision (n=6, dir=up, conc=83%, persist=63%) | cb_press_conference (n=6, dir=up, conc=83%, persist=63%) | cot_release_neutral (n=2, dir=up, conc=100%, persist=100%)"
AUDUSD,Asia,20,7,35.0,"au_unemp (n=2, dir=down, conc=100%, persist=46%) | cb_rate_decision (n=1, dir=up, conc=100%, persist=92%)"
AUDUSD,London,20,7,35.0,"us_claims (n=5, dir=up, conc=60%, persist=66%) | us_gdp (n=2, dir=up, conc=100%, persist=92%) | us_pce (n=2, dir=down, conc=100%, persist=60%)"
AUDUSD,Overlap,16,5,31.25,"us_claims (n=4, dir=up, conc=100%, persist=32%) | us_retail (n=1, dir=up, conc=100%, persist=4%) | us_cpi (n=1, dir=up, conc=100%, persist=33%)"
AUDUSD,NY,28,11,39.285714285714285,"cb_rate_decision (n=7, dir=up, conc=71%, persist=51%) | cb_press_conference (n=7, dir=up, conc=71%, persist=51%) | cot_release_neutral (n=4, dir=up, conc=50%, persist=100%)"
USDCAD,Asia,23,13,56.52173913043478,
USDCAD,London,23,11,47.82608695652174,"us_claims (n=4, dir=up, conc=75%, persist=23%) | us_cpi (n=2, dir=down, conc=100%, persist=34%) | us_core_cpi (n=2, dir=down, conc=100%, persist=34%)"
USDCAD,Overlap,19,1,5.263157894736842,"us_claims (n=5, dir=up, conc=60%, persist=41%) | us_nfp (n=2, dir=down, conc=100%, persist=100%) | ca_unemp (n=2, dir=up, conc=100%, persist=100%)"
USDCAD,NY,24,3,12.5,"cot_release_neutral (n=8, dir=up, conc=75%, persist=50%) | cb_rate_decision (n=5, dir=up, conc=60%, persist=69%) | cb_press_conference (n=5, dir=up, conc=60%, persist=69%)"
NZDUSD,Asia,20,5,25.0,"cb_rate_decision (n=6, dir=up, conc=50%, persist=44%)"
NZDUSD,London,20,6,30.0,"us_claims (n=7, dir=up, conc=57%, persist=58%) | us_ppi (n=2, dir=down, conc=100%, persist=38%) | us_gdp (n=2, dir=up, conc=100%, persist=94%)"
NZDUSD,Overlap,20,5,25.0,"us_claims (n=6, dir=up, conc=100%, persist=55%) | us_retail (n=1, dir=up, conc=100%, persist=21%) | us_cpi (n=1, dir=up, conc=100%, persist=58%)"
NZDUSD,NY,25,6,24.0,"cb_rate_decision (n=7, dir=up, conc=71%, persist=55%) | cb_press_conference (n=7, dir=up, conc=71%, persist=55%) | cot_release_neutral (n=3, dir=up, conc=67%, persist=100%)"
EURGBP,Asia,19,7,36.84210526315789,
EURGBP,London,17,0,0.0,"cb_rate_decision (n=4, dir=up, conc=50%, persist=46%) | cb_press_conference (n=1, dir=down, conc=100%, persist=0%)"
EURGBP,Overlap,21,5,23.809523809523807,"cb_rate_decision (n=4, dir=up, conc=75%, persist=46%) | cb_press_conference (n=2, dir=up, conc=100%, persist=58%)"
EURGBP,NY,21,10,47.61904761904761,"cot_release_neutral (n=4, dir=up, conc=50%, persist=0%)"
EURJPY,Asia,21,7,33.33333333333333,"cb_rate_decision (n=4, dir=up, conc=50%, persist=64%)"
EURJPY,London,21,3,14.285714285714285,"eu_cpi (n=2, dir=up, conc=50%, persist=46%)"
EURJPY,Overlap,22,3,13.636363636363637,"cb_rate_decision (n=1, dir=down, conc=100%, persist=0%) | cb_press_conference (n=1, dir=down, conc=100%, persist=0%)"
EURJPY,NY,22,6,27.27272727272727,"cot_release_neutral (n=7, dir=down, conc=57%, persist=0%) | cot_extreme_short (n=1, dir=up, conc=100%, persist=0%)"
EURCHF,Asia,17,8,47.05882352941176,
EURCHF,London,24,9,37.5,"eu_cpi (n=2, dir=up, conc=50%, persist=17%) | cb_rate_decision (n=1, dir=down, conc=100%, persist=79%)"
EURCHF,Overlap,21,5,23.809523809523807,
EURCHF,NY,17,9,52.94117647058824,"cot_release_neutral (n=6, dir=up, conc=50%, persist=0%)"
EURAUD,Asia,20,3,15.0,"cb_rate_decision (n=4, dir=up, conc=75%, persist=82%) | au_unemp (n=2, dir=down, conc=100%, persist=62%)"
EURAUD,London,22,9,40.909090909090914,"eu_cpi (n=1, dir=down, conc=100%, persist=50%) | cb_rate_decision (n=1, dir=up, conc=100%, persist=96%) | cb_press_conference (n=1, dir=up, conc=100%, persist=96%)"
EURAUD,Overlap,18,6,33.33333333333333,"cb_rate_decision (n=3, dir=up, conc=67%, persist=58%) | cb_press_conference (n=3, dir=up, conc=67%, persist=58%)"
EURAUD,NY,25,9,36.0,"cot_release_neutral (n=12, dir=up, conc=50%, persist=40%) | cot_extreme_short (n=1, dir=up, conc=100%, persist=42%) | cot_extreme_long (n=1, dir=down, conc=100%, persist=0%)"
EURCAD,Asia,16,7,43.75,
EURCAD,London,20,6,30.0,"ca_unemp (n=2, dir=down, conc=100%, persist=78%) | cb_rate_decision (n=1, dir=up, conc=100%, persist=71%) | eu_cpi (n=1, dir=down, conc=100%, persist=90%)"
EURCAD,Overlap,18,6,33.33333333333333,"ca_unemp (n=2, dir=up, conc=50%, persist=50%) | cb_rate_decision (n=1, dir=up, conc=100%, persist=21%) | cb_press_conference (n=1, dir=up, conc=100%, persist=21%)"
EURCAD,NY,18,0,0.0,"cot_release_neutral (n=13, dir=down, conc=54%, persist=20%) | cot_extreme_short (n=1, dir=up, conc=100%, persist=100%)"
EURNZD,Asia,18,4,22.22222222222222,"cb_rate_decision (n=6, dir=up, conc=50%, persist=57%)"
EURNZD,London,27,12,44.44444444444444,"eu_cpi (n=1, dir=down, conc=100%, persist=92%)"
EURNZD,Overlap,21,4,19.047619047619047,"cb_rate_decision (n=3, dir=up, conc=67%, persist=47%) | cb_press_conference (n=3, dir=up, conc=67%, persist=47%)"
EURNZD,NY,22,14,63.63636363636363,"cot_release_neutral (n=5, dir=down, conc=60%, persist=50%) | cot_extreme_short (n=1, dir=up, conc=100%, persist=0%)"
GBPJPY,Asia,26,9,34.61538461538461,"cb_rate_decision (n=4, dir=up, conc=50%, persist=72%) | jp_unemp (n=1, dir=up, conc=100%, persist=54%)"
GBPJPY,London,22,7,31.818181818181817,"cb_rate_decision (n=1, dir=up, conc=100%, persist=88%)"
GBPJPY,Overlap,24,4,16.666666666666664,"cb_rate_decision (n=1, dir=down, conc=100%, persist=0%)"
GBPJPY,NY,18,7,38.88888888888889,"cot_release_neutral (n=7, dir=down, conc=57%, persist=33%) | cot_extreme_short (n=1, dir=up, conc=100%, persist=100%)"
GBPCHF,Asia,14,5,35.714285714285715,
GBPCHF,London,17,3,17.647058823529413,"cb_rate_decision (n=3, dir=up, conc=67%, persist=67%)"
GBPCHF,Overlap,20,4,20.0,
GBPCHF,NY,20,10,50.0,"cot_release_neutral (n=8, dir=up, conc=50%, persist=100%)"
GBPAUD,Asia,21,5,23.809523809523807,"cb_rate_decision (n=4, dir=up, conc=75%, persist=75%) | au_unemp (n=4, dir=down, conc=100%, persist=61%)"
GBPAUD,London,18,5,27.77777777777778,"cb_rate_decision (n=3, dir=up, conc=67%, persist=61%)"
GBPAUD,Overlap,13,5,38.46153846153847,"cb_rate_decision (n=1, dir=up, conc=100%, persist=0%)"
GBPAUD,NY,24,11,45.83333333333333,"cot_release_neutral (n=12, dir=up, conc=50%, persist=60%)"
GBPCAD,Asia,25,9,36.0,
GBPCAD,London,24,9,37.5,"cb_rate_decision (n=3, dir=up, conc=67%, persist=68%) | ca_unemp (n=1, dir=down, conc=100%, persist=0%)"
GBPCAD,Overlap,18,3,16.666666666666664,"cb_rate_decision (n=3, dir=down, conc=67%, persist=60%) | ca_unemp (n=1, dir=up, conc=100%, persist=100%)"
GBPCAD,NY,24,2,8.333333333333332,"cot_release_neutral (n=10, dir=up, conc=50%, persist=50%) | cot_extreme_short (n=2, dir=up, conc=50%, persist=0%)"
GBPNZD,Asia,19,4,21.052631578947366,"cb_rate_decision (n=6, dir=up, conc=50%, persist=33%)"
GBPNZD,London,17,3,17.647058823529413,"cb_rate_decision (n=2, dir=up, conc=50%, persist=54%)"
GBPNZD,Overlap,17,7,41.17647058823529,"cb_rate_decision (n=1, dir=up, conc=100%, persist=96%)"
GBPNZD,NY,22,14,63.63636363636363,"cot_release_neutral (n=4, dir=up, conc=50%, persist=33%) | cot_extreme_short (n=2, dir=up, conc=50%, persist=100%)"
AUDJPY,Asia,22,5,22.727272727272727,"cb_rate_decision (n=3, dir=up, conc=67%, persist=51%) | jp_unemp (n=1, dir=up, conc=100%, persist=67%)"
AUDJPY,London,23,7,30.434782608695656,
AUDJPY,Overlap,17,4,23.52941176470588,
AUDJPY,NY,21,9,42.85714285714285,"cot_release_neutral (n=7, dir=down, conc=57%, persist=67%) | cot_extreme_short (n=1, dir=up, conc=100%, persist=0%)"
CADJPY,Asia,22,7,31.818181818181817,"cb_rate_decision (n=3, dir=up, conc=67%, persist=57%) | jp_unemp (n=1, dir=up, conc=100%, persist=100%)"
CADJPY,London,22,7,31.818181818181817,"ca_unemp (n=3, dir=down, conc=67%, persist=100%)"
CADJPY,Overlap,24,4,16.666666666666664,"ca_unemp (n=2, dir=up, conc=100%, persist=100%)"
CADJPY,NY,19,4,21.052631578947366,"cot_release_neutral (n=14, dir=down, conc=57%, persist=0%) | cot_extreme_short (n=2, dir=up, conc=100%, persist=0%)"
CHFJPY,Asia,17,4,23.52941176470588,"cb_rate_decision (n=3, dir=up, conc=67%, persist=62%)"
CHFJPY,London,23,3,13.043478260869565,"cb_rate_decision (n=2, dir=up, conc=50%, persist=46%)"
CHFJPY,Overlap,25,4,16.0,
CHFJPY,NY,18,12,66.66666666666666,"cot_release_neutral (n=3, dir=down, conc=67%, persist=0%) | cot_extreme_short (n=1, dir=up, conc=100%, persist=0%)"
NZDJPY,Asia,26,5,19.230769230769237,"cb_rate_decision (n=7, dir=up, conc=71%, persist=51%) | jp_unemp (n=2, dir=down, conc=100%, persist=81%)"
NZDJPY,London,24,6,25.0,
NZDJPY,Overlap,20,4,20.0,
NZDJPY,NY,23,11,47.82608695652174,"cot_release_neutral (n=9, dir=up, conc=56%, persist=34%) | cot_extreme_long (n=2, dir=down, conc=100%, persist=4%) | cot_extreme_short (n=1, dir=up, conc=100%, persist=0%)"
AUDCAD,Asia,21,7,33.33333333333333,"cb_rate_decision (n=4, dir=up, conc=75%, persist=62%) | au_unemp (n=1, dir=down, conc=100%, persist=0%)"
AUDCAD,London,27,10,37.03703703703704,"ca_unemp (n=2, dir=down, conc=100%, persist=33%) | cb_rate_decision (n=1, dir=up, conc=100%, persist=75%)"
AUDCAD,Overlap,24,6,25.0,"ca_unemp (n=2, dir=up, conc=100%, persist=70%)"
AUDCAD,NY,25,12,48.0,"cot_release_neutral (n=10, dir=up, conc=50%, persist=10%)"
AUDCHF,Asia,17,7,41.17647058823529,"cb_rate_decision (n=2, dir=up, conc=50%, persist=88%) | au_unemp (n=1, dir=down, conc=100%, persist=25%)"
AUDCHF,London,16,8,50.0,"cb_rate_decision (n=1, dir=up, conc=100%, persist=17%)"
AUDCHF,Overlap,15,1,6.666666666666667,
AUDCHF,NY,18,9,50.0,"cot_release_neutral (n=8, dir=up, conc=50%, persist=100%)"
AUDNZD,Asia,21,3,14.285714285714285,"cb_rate_decision (n=9, dir=up, conc=56%, persist=54%) | au_unemp (n=3, dir=down, conc=67%, persist=74%)"
AUDNZD,London,21,6,28.57142857142857,
AUDNZD,Overlap,20,8,40.0,
AUDNZD,NY,18,16,88.88888888888889,"cot_release_neutral (n=1, dir=down, conc=100%, persist=0%) | cot_extreme_short (n=1, dir=up, conc=100%, persist=0%)"
CADCHF,Asia,21,13,61.90476190476191,
CADCHF,London,14,0,0.0,"ca_unemp (n=2, dir=down, conc=100%, persist=72%) | cb_rate_decision (n=1, dir=down, conc=100%, persist=12%)"
CADCHF,Overlap,18,5,27.77777777777778,"ca_unemp (n=2, dir=up, conc=50%, persist=52%) | cb_rate_decision (n=1, dir=up, conc=100%, persist=67%)"
CADCHF,NY,22,9,40.909090909090914,"cot_release_neutral (n=11, dir=down, conc=55%, persist=40%) | cot_extreme_short (n=1, dir=up, conc=100%, persist=0%)"
NZDCAD,Asia,21,5,23.809523809523807,"cb_rate_decision (n=6, dir=up, conc=50%, persist=38%)"
NZDCAD,London,23,7,30.434782608695656,"ca_unemp (n=3, dir=down, conc=100%, persist=36%)"
NZDCAD,Overlap,26,4,15.384615384615383,"ca_unemp (n=2, dir=up, conc=100%, persist=100%)"
NZDCAD,NY,25,16,64.0,"cot_release_neutral (n=5, dir=up, conc=60%, persist=42%) | cot_extreme_long (n=1, dir=down, conc=100%, persist=8%)"
NZDCHF,Asia,21,9,42.85714285714285,"cb_rate_decision (n=6, dir=up, conc=50%, persist=64%)"
NZDCHF,London,15,4,26.666666666666668,
NZDCHF,Overlap,18,9,50.0,
NZDCHF,NY,19,13,68.42105263157895,"cot_release_neutral (n=7, dir=up, conc=57%, persist=0%) | cot_extreme_short (n=1, dir=down, conc=100%, persist=0%)"
