t,sym,dir,raw,score,fwr,why,win,month
2025-06-12 05:00:00+00:00,EURJPY,BUY,2.4,2.4,0.5,низ диапазона+RSI низкий,True,2025-06
2025-06-12 10:00:00+00:00,USDCHF,BUY,2.1,2.1,0.5,низ диапазона+RSI низкий,True,2025-06
2025-06-12 20:00:00+00:00,USDCHF,BUY,2.1,2.1,0.5,низ диапазона+RSI низкий,False,2025-06
2025-06-13 00:00:00+00:00,USDCHF,BUY,2.1,2.1,0.5,низ диапазона+RSI низкий,True,2025-06
2025-06-13 05:00:00+00:00,EURUSD,BUY,2.4,2.4,0.5,низ диапазона+RSI низкий,False,2025-06
2025-06-13 10:00:00+00:00,EURUSD,BUY,2.4,2.4,0.5,низ диапазона+RSI низкий,True,2025-06
2025-06-13 15:00:00+00:00,USDCHF,SELL,1.2000000000000002,1.2000000000000002,0.5,RSI высокий,True,2025-06
2025-06-16 00:00:00+00:00,EURJPY,BUY,1.1,1.1,0.5,импульс вверх,False,2025-06
2025-06-17 00:00:00+00:00,USDCHF,SELL,2.0,2.0,0.5,верх диапазона+RSI высокий,True,2025-06
2025-06-17 05:00:00+00:00,EURUSD,BUY,2.4,2.4,0.5,низ диапазона+RSI низкий,True,2025-06
2025-06-17 20:00:00+00:00,EURJPY,BUY,2.4,2.4,0.5,низ диапазона+RSI низкий,True,2025-06
2025-06-18 00:00:00+00:00,EURUSD,BUY,2.1,2.1,0.5,низ диапазона+RSI низкий,True,2025-06
2025-06-18 05:00:00+00:00,EURJPY,BUY,2.4,2.4,0.5,низ диапазона+RSI низкий,False,2025-06
2025-06-18 10:00:00+00:00,EURJPY,BUY,2.1,2.1,0.5,низ диапазона,True,2025-06
2025-06-19 00:00:00+00:00,EURJPY,BUY,1.6,1.6,0.5,низ диапазона,False,2025-06
2025-06-19 05:00:00+00:00,EURUSD,BUY,2.1,2.1,0.5,низ диапазона+RSI низкий,True,2025-06
2025-06-19 20:00:00+00:00,USDCHF,BUY,2.4,2.4,0.5,низ диапазона+RSI низкий,True,2025-06
2025-06-20 05:00:00+00:00,USDCHF,BUY,1.6,1.6,0.5,низ диапазона+RSI низкий,True,2025-06
2025-06-20 20:00:00+00:00,EURJPY,SELL,1.5,1.5,0.5,верх диапазона+RSI высокий,False,2025-06
2025-06-23 00:00:00+00:00,EURUSD,BUY,2.4,2.4,0.5,низ диапазона+RSI низкий,True,2025-06
2025-06-23 05:00:00+00:00,EURUSD,BUY,1.1,1.1,0.5,импульс вверх,False,2025-06
2025-06-23 10:00:00+00:00,EURUSD,BUY,2.1,2.1,0.5,низ диапазона+RSI низкий,True,2025-06
2025-06-23 15:00:00+00:00,USDCHF,BUY,2.1,2.1,0.5,низ диапазона+RSI низкий,False,2025-06
2025-06-23 20:00:00+00:00,USDCHF,BUY,2.1,2.1,0.5,низ диапазона+RSI низкий,True,2025-06
2025-06-24 00:00:00+00:00,EURJPY,BUY,2.4,2.4,0.5,низ диапазона+RSI низкий,False,2025-06
2025-06-24 05:00:00+00:00,USDCHF,BUY,2.1,2.1,0.5,низ диапазона+RSI низкий,False,2025-06
2025-06-24 10:00:00+00:00,EURJPY,BUY,2.4,2.4799999999999995,0.5333333333333333,низ диапазона+RSI низкий,False,2025-06
2025-06-24 15:00:00+00:00,EURJPY,BUY,1.2000000000000002,1.2000000000000002,0.5,RSI низкий,False,2025-06
2025-06-24 20:00:00+00:00,USDCHF,BUY,2.1,2.17,0.5333333333333333,низ диапазона+RSI низкий,False,2025-06
2025-06-25 00:00:00+00:00,USDCHF,BUY,2.1,2.1,0.5,низ диапазона+RSI низкий,True,2025-06
2025-06-25 05:00:00+00:00,USDCHF,BUY,1.2999999999999998,1.3382352941176467,0.5294117647058824,низ диапазона,True,2025-06
2025-06-25 20:00:00+00:00,EURJPY,SELL,1.5,1.539473684210526,0.5263157894736842,верх диапазона+RSI высокий,True,2025-06
2025-06-26 00:00:00+00:00,USDCHF,BUY,2.1,2.1552631578947365,0.5263157894736842,низ диапазона+RSI низкий,False,2025-06
2025-06-26 05:00:00+00:00,USDCHF,BUY,2.1,2.1,0.5,низ диапазона+RSI низкий,False,2025-06
2025-06-26 15:00:00+00:00,USDCHF,BUY,2.1,2.05,0.47619047619047616,низ диапазона+RSI низкий,True,2025-06
2025-06-27 05:00:00+00:00,EURUSD,BUY,1.6,1.6,0.5,низ диапазона,True,2025-06
2025-06-27 10:00:00+00:00,USDCHF,BUY,1.2999999999999998,1.2999999999999998,0.5,низ диапазона,True,2025-06
2025-06-30 00:00:00+00:00,EURUSD,BUY,1.1,1.356666666666667,0.7333333333333333,импульс вверх,True,2025-06
2025-06-30 05:00:00+00:00,EURJPY,BUY,2.9,3.045,0.55,низ диапазона+RSI низкий,True,2025-06
2025-06-30 10:00:00+00:00,USDCHF,BUY,2.1,2.1456521739130436,0.5217391304347826,низ диапазона+RSI низкий,False,2025-06
2025-06-30 15:00:00+00:00,USDCHF,BUY,2.1,2.1,0.5,низ диапазона+RSI низкий,False,2025-06
2025-06-30 20:00:00+00:00,USDCHF,BUY,2.1,2.058,0.48,низ диапазона+RSI низкий,True,2025-06
2025-07-01 00:00:00+00:00,USDCHF,BUY,2.1,2.1,0.5,низ диапазона+RSI низкий,True,2025-07
2025-07-01 05:00:00+00:00,USDCHF,BUY,2.1,2.1388888888888893,0.5185185185185185,низ диапазона+RSI низкий,False,2025-07
2025-07-01 10:00:00+00:00,USDCHF,BUY,2.1,2.1,0.5,низ диапазона+RSI низкий,True,2025-07
2025-07-01 15:00:00+00:00,EURUSD,BUY,1.6,2.023529411764706,0.7647058823529411,низ диапазона,True,2025-07
2025-07-02 10:00:00+00:00,EURUSD,BUY,2.4,3.0666666666666664,0.7777777777777778,низ диапазона+RSI низкий,True,2025-07
2025-07-02 15:00:00+00:00,EURUSD,BUY,1.1,1.418421052631579,0.7894736842105263,импульс вверх,True,2025-07
2025-07-03 00:00:00+00:00,EURUSD,SELL,1.5,1.9500000000000002,0.8,верх диапазона+RSI высокий,True,2025-07
2025-07-03 15:00:00+00:00,EURUSD,BUY,1.2000000000000002,1.5714285714285716,0.8095238095238095,RSI низкий,True,2025-07
2025-07-03 20:00:00+00:00,EURUSD,BUY,1.2000000000000002,1.5818181818181822,0.8181818181818182,RSI низкий,True,2025-07
2025-07-04 00:00:00+00:00,EURUSD,BUY,1.1,1.4586956521739134,0.8260869565217391,импульс вверх,True,2025-07
2025-07-04 05:00:00+00:00,USDCHF,BUY,1.6,1.6275862068965516,0.5172413793103449,низ диапазона+RSI низкий,True,2025-07
2025-07-04 10:00:00+00:00,EURJPY,BUY,1.2000000000000002,1.2923076923076924,0.5769230769230769,RSI низкий,True,2025-07
2025-07-07 10:00:00+00:00,EURUSD,BUY,2.9,3.866666666666667,0.8333333333333334,низ диапазона+RSI низкий,True,2025-07
2025-07-07 15:00:00+00:00,EURUSD,BUY,1.7000000000000002,2.278,0.84,RSI низкий,False,2025-07
2025-07-08 00:00:00+00:00,EURUSD,BUY,1.1,1.4384615384615387,0.8076923076923077,импульс вверх,False,2025-07
2025-07-09 10:00:00+00:00,EURJPY,BUY,1.6,1.7481481481481482,0.5925925925925926,низ диапазона,False,2025-07
2025-07-09 15:00:00+00:00,EURJPY,BUY,1.2000000000000002,1.2857142857142858,0.5714285714285714,RSI низкий,False,2025-07
2025-07-09 20:00:00+00:00,EURJPY,BUY,2.4,2.5241379310344825,0.5517241379310345,низ диапазона+RSI низкий,False,2025-07
2025-07-10 00:00:00+00:00,EURJPY,BUY,2.4,2.4799999999999995,0.5333333333333333,низ диапазона+RSI низкий,True,2025-07
2025-07-10 05:00:00+00:00,USDCHF,BUY,1.1,1.1323529411764706,0.5294117647058824,RSI низкий+импульс вверх,True,2025-07
2025-07-10 15:00:00+00:00,EURJPY,BUY,1.6,1.6774193548387097,0.5483870967741935,низ диапазона,False,2025-07
2025-07-11 00:00:00+00:00,EURUSD,BUY,2.1,2.683333333333333,0.7777777777777778,низ диапазона+RSI низкий,True,2025-07
2025-07-11 05:00:00+00:00,EURUSD,BUY,1.2999999999999998,1.671428571428571,0.7857142857142857,низ диапазона,True,2025-07
2025-07-11 20:00:00+00:00,EURJPY,SELL,1.5,1.5681818181818181,0.5454545454545454,верх диапазона+RSI высокий,True,2025-07
2025-07-14 05:00:00+00:00,EURUSD,BUY,2.1,2.7155172413793105,0.7931034482758621,низ диапазона+RSI низкий,True,2025-07
2025-07-14 20:00:00+00:00,EURUSD,BUY,1.2999999999999998,1.6899999999999997,0.8,низ диапазона,True,2025-07
2025-07-15 15:00:00+00:00,EURUSD,BUY,2.1,2.7435483870967743,0.8064516129032258,низ диапазона+RSI низкий,False,2025-07
2025-07-15 20:00:00+00:00,EURUSD,BUY,2.1,2.6906250000000003,0.78125,низ диапазона+RSI низкий,True,2025-07
2025-07-16 00:00:00+00:00,EURUSD,BUY,2.1,2.7045454545454546,0.7878787878787878,низ диапазона+RSI низкий,True,2025-07
2025-07-16 15:00:00+00:00,EURJPY,BUY,1.2000000000000002,1.2705882352941178,0.5588235294117647,RSI низкий,False,2025-07
2025-07-16 20:00:00+00:00,EURJPY,BUY,2.4,2.5028571428571422,0.5428571428571428,низ диапазона+RSI низкий,True,2025-07
2025-07-17 00:00:00+00:00,EURJPY,BUY,1.1,1.1611111111111112,0.5555555555555556,импульс вверх,True,2025-07
2025-07-17 10:00:00+00:00,EURUSD,BUY,2.1,2.717647058823529,0.7941176470588235,низ диапазона+RSI низкий,True,2025-07
2025-07-18 00:00:00+00:00,EURUSD,SELL,1.3000000000000003,1.6900000000000004,0.8,верх диапазона+RSI высокий+импульс вверх,True,2025-07
2025-07-18 05:00:00+00:00,EURJPY,SELL,1.5,1.6013513513513513,0.5675675675675675,верх диапазона+RSI высокий,False,2025-07
2025-07-18 10:00:00+00:00,USDCHF,BUY,2.4,2.5538461538461537,0.5641025641025641,низ диапазона+RSI низкий,False,2025-07
2025-07-18 20:00:00+00:00,USDCHF,BUY,1.1,1.1550000000000002,0.55,импульс вверх,True,2025-07
2025-07-21 00:00:00+00:00,EURJPY,BUY,2.4,2.5263157894736845,0.5526315789473685,низ диапазона+RSI низкий,True,2025-07
2025-07-21 05:00:00+00:00,EURJPY,BUY,1.2000000000000002,1.276923076923077,0.5641025641025641,RSI низкий,False,2025-07
2025-07-21 10:00:00+00:00,EURJPY,BUY,2.9,3.045,0.55,низ диапазона+RSI низкий,True,2025-07
2025-07-21 15:00:00+00:00,USDCHF,BUY,2.1,2.205,0.55,низ диапазона+RSI низкий,True,2025-07
2025-07-22 15:00:00+00:00,USDCHF,BUY,2.1,2.2575,0.575,низ диапазона+RSI низкий,False,2025-07
2025-07-22 20:00:00+00:00,USDCHF,BUY,2.1,2.205,0.55,низ диапазона+RSI низкий,True,2025-07
2025-07-23 10:00:00+00:00,EURUSD,BUY,1.2000000000000002,1.5473684210526317,0.7894736842105263,RSI низкий,True,2025-07
2025-07-23 20:00:00+00:00,USDCHF,BUY,1.2999999999999998,1.3649999999999998,0.55,низ диапазона,True,2025-07
2025-07-24 05:00:00+00:00,EURUSD,SELL,1.5,1.942307692307692,0.7948717948717948,верх диапазона+RSI высокий,True,2025-07
2025-07-24 10:00:00+00:00,EURUSD,BUY,1.2000000000000002,1.5600000000000003,0.8,RSI низкий,True,2025-07
2025-07-24 15:00:00+00:00,USDCHF,SELL,2.0,2.05,0.525,верх диапазона+RSI высокий,True,2025-07
2025-07-25 00:00:00+00:00,EURJPY,SELL,1.5,1.5,0.5,верх диапазона+RSI высокий,True,2025-07
2025-07-25 10:00:00+00:00,EURUSD,BUY,2.4,3.1799999999999997,0.825,низ диапазона+RSI низкий,True,2025-07
2025-07-28 10:00:00+00:00,EURUSD,BUY,2.1,2.8350000000000004,0.85,низ диапазона+RSI низкий,False,2025-07
2025-07-28 15:00:00+00:00,EURUSD,BUY,2.1,2.7825,0.825,низ диапазона+RSI низкий,False,2025-07
2025-07-28 20:00:00+00:00,EURUSD,BUY,2.1,2.7825,0.825,низ диапазона+RSI низкий,True,2025-07
2025-07-29 00:00:00+00:00,EURUSD,BUY,2.1,2.7825,0.825,низ диапазона+RSI низкий,False,2025-07
2025-07-29 05:00:00+00:00,EURUSD,BUY,2.1,2.7300000000000004,0.8,низ диапазона+RSI низкий,False,2025-07
2025-07-29 15:00:00+00:00,EURUSD,BUY,1.2999999999999998,1.6574999999999998,0.775,низ диапазона,True,2025-07
2025-07-30 00:00:00+00:00,USDCHF,BUY,1.6,1.6,0.5,низ диапазона,True,2025-07
2025-07-30 05:00:00+00:00,USDCHF,BUY,1.6,1.64,0.525,RSI низкий+импульс вверх,True,2025-07
2025-07-30 10:00:00+00:00,EURJPY,BUY,2.1,2.1,0.5,низ диапазона+RSI низкий,False,2025-07
2025-07-30 15:00:00+00:00,EURUSD,BUY,2.1,2.6774999999999998,0.775,низ диапазона+RSI низкий,False,2025-07
2025-07-30 20:00:00+00:00,EURUSD,BUY,2.1,2.625,0.75,низ диапазона+RSI низкий,True,2025-07
2025-07-31 00:00:00+00:00,EURUSD,BUY,2.1,2.625,0.75,низ диапазона+RSI низкий,True,2025-07
2025-07-31 20:00:00+00:00,EURUSD,BUY,1.2999999999999998,1.6249999999999998,0.75,низ диапазона,False,2025-07
2025-08-01 00:00:00+00:00,EURJPY,SELL,1.5,1.5,0.5,верх диапазона+RSI высокий,True,2025-08
2025-08-01 10:00:00+00:00,EURJPY,BUY,1.6,1.64,0.525,низ диапазона+RSI низкий,False,2025-08
2025-08-01 15:00:00+00:00,EURUSD,SELL,1.6,2.0,0.75,верх диапазона+RSI высокий+импульс вверх,False,2025-08
2025-08-01 20:00:00+00:00,USDCHF,BUY,2.9,3.045,0.55,низ диапазона+RSI низкий,True,2025-08
2025-08-04 00:00:00+00:00,EURJPY,BUY,2.1,2.1,0.5,низ диапазона+RSI низкий,True,2025-08
2025-08-04 10:00:00+00:00,USDCHF,BUY,1.1,1.1825,0.575,импульс вверх,True,2025-08
2025-08-04 15:00:00+00:00,EURJPY,BUY,2.1,2.1,0.5,низ диапазона+RSI низкий,False,2025-08
2025-08-04 20:00:00+00:00,EURJPY,BUY,2.1,2.0475,0.475,низ диапазона+RSI низкий,False,2025-08
2025-08-05 00:00:00+00:00,EURJPY,BUY,2.1,1.9949999999999999,0.45,низ диапазона+RSI низкий,False,2025-08
2025-08-05 15:00:00+00:00,USDCHF,BUY,1.6,1.72,0.575,низ диапазона,True,2025-08
2025-08-06 05:00:00+00:00,USDCHF,BUY,1.6,1.72,0.575,низ диапазона,False,2025-08
2025-08-06 15:00:00+00:00,USDCHF,BUY,1.2999999999999998,1.3974999999999997,0.575,низ диапазона,True,2025-08
2025-08-06 20:00:00+00:00,EURUSD,SELL,1.5,1.8375000000000001,0.725,верх диапазона+RSI высокий,True,2025-08
2025-08-07 15:00:00+00:00,USDCHF,BUY,1.1,1.2100000000000002,0.6,импульс вверх,False,2025-08
2025-08-08 00:00:00+00:00,EURJPY,BUY,1.1,1.045,0.45,импульс вверх,False,2025-08
2025-08-08 05:00:00+00:00,USDCHF,BUY,1.1,1.1825,0.575,импульс вверх,True,2025-08
2025-08-11 15:00:00+00:00,EURUSD,BUY,2.1,2.52,0.7,низ диапазона+RSI низкий,True,2025-08
2025-08-11 20:00:00+00:00,EURJPY,BUY,1.1,1.045,0.45,импульс вверх,True,2025-08
2025-08-12 15:00:00+00:00,USDCHF,BUY,1.2000000000000002,1.29,0.575,RSI низкий,False,2025-08
2025-08-12 20:00:00+00:00,USDCHF,BUY,1.6,1.72,0.575,низ диапазона+RSI низкий,True,2025-08
2025-08-13 00:00:00+00:00,USDCHF,BUY,1.6,1.7600000000000002,0.6,низ диапазона+RSI низкий,True,2025-08
2025-08-13 05:00:00+00:00,USDCHF,BUY,2.1,2.3100000000000005,0.6,низ диапазона+RSI низкий,False,2025-08
2025-08-13 15:00:00+00:00,EURJPY,BUY,1.2000000000000002,1.1700000000000002,0.475,RSI низкий,False,2025-08
2025-08-14 00:00:00+00:00,EURJPY,BUY,2.9,2.8274999999999997,0.475,низ диапазона+RSI низкий,False,2025-08
2025-08-14 05:00:00+00:00,EURUSD,BUY,2.1,2.52,0.7,низ диапазона+RSI низкий,False,2025-08
2025-08-14 15:00:00+00:00,EURUSD,BUY,2.9,3.4075,0.675,низ диапазона+RSI низкий,True,2025-08
2025-08-14 20:00:00+00:00,EURJPY,SELL,1.2000000000000002,1.1400000000000001,0.45,верх диапазона+RSI высокий,True,2025-08
2025-08-15 00:00:00+00:00,EURUSD,BUY,1.2000000000000002,1.4100000000000004,0.675,RSI низкий,True,2025-08
2025-08-15 10:00:00+00:00,EURUSD,SELL,1.5,1.7625000000000002,0.675,верх диапазона+RSI высокий,False,2025-08
2025-08-15 20:00:00+00:00,EURUSD,SELL,1.5,1.7249999999999999,0.65,верх диапазона+RSI высокий,True,2025-08
2025-08-18 10:00:00+00:00,EURUSD,BUY,1.2000000000000002,1.3800000000000001,0.65,RSI низкий,False,2025-08
2025-08-18 15:00:00+00:00,EURUSD,BUY,2.4,2.6999999999999997,0.625,низ диапазона+RSI низкий,False,2025-08
2025-08-18 20:00:00+00:00,EURUSD,BUY,2.4,2.64,0.6,низ диапазона+RSI низкий,False,2025-08
2025-08-19 00:00:00+00:00,EURUSD,BUY,2.4,2.5799999999999996,0.575,низ диапазона+RSI низкий,False,2025-08
2025-08-19 10:00:00+00:00,USDCHF,BUY,2.1,2.205,0.55,низ диапазона+RSI низкий,True,2025-08
2025-08-19 20:00:00+00:00,EURUSD,BUY,2.1,2.2575,0.575,низ диапазона+RSI низкий,False,2025-08
2025-08-20 00:00:00+00:00,EURUSD,BUY,2.1,2.2575,0.575,низ диапазона+RSI низкий,False,2025-08
2025-08-20 15:00:00+00:00,USDCHF,BUY,2.1,2.2575,0.575,низ диапазона+RSI низкий,False,2025-08
2025-08-20 20:00:00+00:00,USDCHF,BUY,2.1,2.2575,0.575,низ диапазона+RSI низкий,True,2025-08
2025-08-21 10:00:00+00:00,USDCHF,SELL,1.2000000000000002,1.29,0.575,верх диапазона,False,2025-08
2025-08-21 20:00:00+00:00,EURUSD,BUY,1.2999999999999998,1.3649999999999998,0.55,низ диапазона,True,2025-08
2025-08-22 00:00:00+00:00,USDCHF,SELL,1.2000000000000002,1.2600000000000002,0.55,верх диапазона+RSI высокий,False,2025-08
2025-08-22 05:00:00+00:00,EURUSD,BUY,2.1,2.205,0.55,низ диапазона+RSI низкий,True,2025-08
2025-08-22 15:00:00+00:00,USDCHF,BUY,2.1,2.205,0.55,низ диапазона+RSI низкий,False,2025-08
2025-08-22 20:00:00+00:00,USDCHF,BUY,2.1,2.1525,0.525,низ диапазона+RSI низкий,True,2025-08
2025-08-25 00:00:00+00:00,USDCHF,BUY,1.6,1.64,0.525,RSI низкий+импульс вверх,True,2025-08
2025-08-25 10:00:00+00:00,EURUSD,BUY,1.2000000000000002,1.2600000000000002,0.55,RSI низкий,False,2025-08
2025-08-25 15:00:00+00:00,EURUSD,BUY,1.6,1.6800000000000002,0.55,низ диапазона,False,2025-08
2025-08-25 20:00:00+00:00,EURUSD,BUY,2.1,2.1525,0.525,низ диапазона+RSI низкий,True,2025-08
2025-08-26 20:00:00+00:00,USDCHF,BUY,1.6,1.64,0.525,низ диапазона+RSI низкий,True,2025-08
2025-08-27 05:00:00+00:00,EURUSD,BUY,2.1,2.1525,0.525,низ диапазона+RSI низкий,False,2025-08
2025-08-27 10:00:00+00:00,EURUSD,BUY,2.1,2.1,0.5,низ диапазона+RSI низкий,True,2025-08
2025-08-27 20:00:00+00:00,USDCHF,BUY,2.1,2.1525,0.525,низ диапазона+RSI низкий,False,2025-08
2025-08-28 00:00:00+00:00,USDCHF,BUY,2.1,2.1,0.5,низ диапазона+RSI низкий,False,2025-08
2025-08-28 05:00:00+00:00,USDCHF,BUY,2.1,2.1,0.5,низ диапазона+RSI низкий,False,2025-08
2025-08-28 10:00:00+00:00,USDCHF,BUY,2.1,2.0475,0.475,низ диапазона+RSI низкий,True,2025-08
2025-08-29 10:00:00+00:00,EURJPY,SELL,1.2000000000000002,1.1400000000000001,0.45,верх диапазона,False,2025-08
2025-09-01 00:00:00+00:00,EURJPY,SELL,1.5,1.4249999999999998,0.45,верх диапазона+RSI высокий,True,2025-09
2025-09-01 05:00:00+00:00,USDCHF,BUY,1.2999999999999998,1.2674999999999998,0.475,низ диапазона,True,2025-09
2025-09-02 00:00:00+00:00,EURUSD,BUY,1.6,1.6,0.5,низ диапазона,False,2025-09
2025-09-02 05:00:00+00:00,EURUSD,BUY,1.6,1.56,0.475,низ диапазона,False,2025-09
2025-09-02 10:00:00+00:00,EURUSD,BUY,2.1,1.9949999999999999,0.45,низ диапазона+RSI низкий,True,2025-09
2025-09-02 20:00:00+00:00,EURJPY,BUY,1.2000000000000002,1.1400000000000001,0.45,RSI низкий,True,2025-09
2025-09-03 15:00:00+00:00,USDCHF,BUY,2.4,2.34,0.475,низ диапазона+RSI низкий,True,2025-09
2025-09-03 20:00:00+00:00,EURJPY,BUY,1.6,1.52,0.45,низ диапазона,False,2025-09
2025-09-04 00:00:00+00:00,EURJPY,BUY,2.4,2.28,0.45,низ диапазона+RSI низкий,True,2025-09
2025-09-05 00:00:00+00:00,EURUSD,SELL,1.2000000000000002,1.1400000000000001,0.45,верх диапазона,False,2025-09
2025-09-05 05:00:00+00:00,USDCHF,BUY,2.4,2.4,0.5,низ диапазона+RSI низкий,False,2025-09
2025-09-05 10:00:00+00:00,USDCHF,BUY,2.1,2.0475,0.475,низ диапазона+RSI низкий,False,2025-09
2025-09-05 15:00:00+00:00,USDCHF,BUY,2.1,2.0475,0.475,низ диапазона+RSI низкий,True,2025-09
2025-09-05 20:00:00+00:00,USDCHF,BUY,1.6,1.6,0.5,RSI низкий+импульс вверх,True,2025-09
2025-09-08 10:00:00+00:00,USDCHF,BUY,2.1,2.1,0.5,низ диапазона+RSI низкий,False,2025-09
2025-09-08 15:00:00+00:00,USDCHF,BUY,2.1,2.0475,0.475,низ диапазона+RSI низкий,False,2025-09
2025-09-08 20:00:00+00:00,USDCHF,BUY,2.1,2.0475,0.475,низ диапазона+RSI низкий,False,2025-09
2025-09-09 00:00:00+00:00,USDCHF,BUY,2.1,1.9949999999999999,0.45,низ диапазона+RSI низкий,False,2025-09
2025-09-09 05:00:00+00:00,EURJPY,BUY,2.4,2.34,0.475,низ диапазона+RSI низкий,False,2025-09
2025-09-09 10:00:00+00:00,EURJPY,BUY,2.1,1.9949999999999999,0.45,низ диапазона+RSI низкий,True,2025-09
2025-09-09 15:00:00+00:00,EURUSD,BUY,2.4,2.28,0.45,низ диапазона+RSI низкий,False,2025-09
