t,sym,dir,score,why,win,month
2025-06-12 05:00:00+00:00,USDJPY,BUY,4.015257607201961,низ диапазона,False,2025-06
2025-06-12 10:00:00+00:00,USDCHF,BUY,4.141979926906861,низ диапазона,True,2025-06
2025-06-12 15:00:00+00:00,USDCAD,BUY,1.7448951638121064,низ диапазона,False,2025-06
2025-06-12 20:00:00+00:00,USDCHF,BUY,3.815331074594486,низ диапазона,False,2025-06
2025-06-13 00:00:00+00:00,AUDUSD,BUY,3.0505387894606013,низ диапазона,True,2025-06
2025-06-13 05:00:00+00:00,NZDUSD,BUY,2.635589580700246,низ диапазона,False,2025-06
2025-06-13 10:00:00+00:00,NZDUSD,BUY,3.916889887365138,низ диапазона,True,2025-06
2025-06-13 15:00:00+00:00,USDCAD,BUY,2.7526487945719396,низ диапазона,True,2025-06
2025-06-16 10:00:00+00:00,NZDUSD,SELL,0.9572072144994674,верх диапазона + тренд вниз,False,2025-06
2025-06-16 15:00:00+00:00,USDCAD,BUY,1.2783623934249935,RSI перепроданность,True,2025-06
2025-06-17 00:00:00+00:00,USDCHF,SELL,1.6740341935751917,верх диапазона + тренд вниз,True,2025-06
2025-06-17 05:00:00+00:00,GBPUSD,BUY,2.299245885847281,низ диапазона,False,2025-06
2025-06-17 15:00:00+00:00,GBPUSD,BUY,2.7071684571762744,низ диапазона,False,2025-06
2025-06-17 20:00:00+00:00,GBPUSD,BUY,3.9226074866425527,низ диапазона,True,2025-06
2025-06-18 00:00:00+00:00,GBPUSD,BUY,4.209196328012264,низ диапазона,True,2025-06
2025-06-18 05:00:00+00:00,GBPUSD,BUY,2.413774599223546,низ диапазона,False,2025-06
2025-06-18 10:00:00+00:00,USDJPY,BUY,3.6431722066621477,низ диапазона,False,2025-06
2025-06-18 15:00:00+00:00,USDJPY,BUY,4.7818852171890605,низ диапазона,True,2025-06
2025-06-19 00:00:00+00:00,GBPUSD,BUY,0.843689720947518,низ диапазона,False,2025-06
2025-06-19 05:00:00+00:00,NZDUSD,BUY,4.662974698135872,низ диапазона,False,2025-06
2025-06-19 10:00:00+00:00,NZDUSD,BUY,3.2443852310086103,низ диапазона,False,2025-06
2025-06-19 15:00:00+00:00,AUDUSD,BUY,1.925772798272887,низ диапазона,True,2025-06
2025-06-19 20:00:00+00:00,USDCHF,BUY,2.830847608778068,низ диапазона,True,2025-06
2025-06-20 00:00:00+00:00,USDCHF,BUY,2.2917350031881525,низ диапазона,True,2025-06
2025-06-20 05:00:00+00:00,USDCAD,BUY,3.2138533646567433,низ диапазона,True,2025-06
2025-06-20 10:00:00+00:00,GBPUSD,SELL,0.9287420204250448,верх диапазона + тренд вниз,True,2025-06
2025-06-20 15:00:00+00:00,NZDUSD,BUY,2.4841213548468817,низ диапазона,True,2025-06
2025-06-20 20:00:00+00:00,AUDUSD,BUY,2.841880373820895,низ диапазона,False,2025-06
2025-06-23 00:00:00+00:00,AUDUSD,BUY,4.035145630189159,низ диапазона,False,2025-06
2025-06-23 05:00:00+00:00,NZDUSD,BUY,3.652334709325729,низ диапазона,False,2025-06
2025-06-23 10:00:00+00:00,NZDUSD,BUY,4.678873538888565,низ диапазона,True,2025-06
2025-06-23 15:00:00+00:00,USDCHF,BUY,2.583849694832482,низ диапазона,False,2025-06
2025-06-23 20:00:00+00:00,USDJPY,BUY,2.9682820205318663,низ диапазона,False,2025-06
2025-06-24 00:00:00+00:00,USDJPY,BUY,5.99560905933106,низ диапазона,False,2025-06
2025-06-24 05:00:00+00:00,USDJPY,BUY,5.491679969246044,низ диапазона,False,2025-06
2025-06-24 10:00:00+00:00,EURJPY,BUY,3.4542569266853818,низ диапазона,False,2025-06
2025-06-24 15:00:00+00:00,EURJPY,BUY,2.253726282268646,RSI перепроданность,False,2025-06
2025-06-24 20:00:00+00:00,USDCHF,BUY,3.254604043597261,низ диапазона,False,2025-06
2025-06-25 00:00:00+00:00,USDCHF,BUY,3.2284764638782995,низ диапазона,True,2025-06
2025-06-25 10:00:00+00:00,USDJPY,SELL,2.200605147098991,верх диапазона + тренд вниз,True,2025-06
2025-06-25 20:00:00+00:00,USDCHF,BUY,1.9769745001383414,низ диапазона,False,2025-06
2025-06-26 00:00:00+00:00,USDJPY,BUY,4.609708097842845,низ диапазона,False,2025-06
2025-06-26 05:00:00+00:00,USDJPY,BUY,4.193998052079453,низ диапазона,False,2025-06
2025-06-26 10:00:00+00:00,USDCAD,BUY,3.5408850416582833,низ диапазона,False,2025-06
2025-06-26 15:00:00+00:00,USDCAD,BUY,4.13040229099373,низ диапазона,True,2025-06
2025-06-26 20:00:00+00:00,USDCAD,BUY,2.2360950007465004,RSI перепроданность,False,2025-06
2025-06-27 05:00:00+00:00,EURUSD,BUY,2.260179316967212,низ диапазона,True,2025-06
2025-06-27 10:00:00+00:00,AUDUSD,BUY,1.8547052866559925,низ диапазона,False,2025-06
2025-06-27 15:00:00+00:00,USDCAD,SELL,1.203165366341396,верх диапазона + тренд вниз,False,2025-06
2025-06-30 05:00:00+00:00,EURJPY,BUY,4.522104909095898,низ диапазона,True,2025-06
2025-06-30 10:00:00+00:00,USDCHF,BUY,2.0767327875944637,низ диапазона,False,2025-06
2025-06-30 15:00:00+00:00,USDCHF,BUY,3.25289928378879,низ диапазона,False,2025-06
2025-06-30 20:00:00+00:00,USDCHF,BUY,3.3859421492142685,низ диапазона,True,2025-06
2025-07-01 00:00:00+00:00,USDCHF,BUY,3.9342500699574954,низ диапазона,True,2025-07
2025-07-01 05:00:00+00:00,USDCHF,BUY,2.3480286534800126,низ диапазона,False,2025-07
2025-07-01 10:00:00+00:00,USDJPY,BUY,2.8005267514277756,низ диапазона,True,2025-07
2025-07-01 15:00:00+00:00,USDCAD,SELL,1.4640157098265858,верх диапазона + тренд вниз,True,2025-07
2025-07-02 10:00:00+00:00,EURUSD,BUY,3.5013397256142116,низ диапазона,True,2025-07
2025-07-02 15:00:00+00:00,USDCAD,BUY,2.9018567311769368,низ диапазона,False,2025-07
2025-07-02 20:00:00+00:00,USDCAD,BUY,4.227553534213055,низ диапазона,False,2025-07
2025-07-03 00:00:00+00:00,USDCAD,BUY,4.545431830482708,низ диапазона,True,2025-07
2025-07-03 10:00:00+00:00,GBPUSD,SELL,0.05935633996187217,верх диапазона + тренд вниз,True,2025-07
2025-07-03 15:00:00+00:00,USDJPY,SELL,1.4696089581099585,RSI перекупленность,True,2025-07
2025-07-04 05:00:00+00:00,USDCHF,BUY,2.0805800712869993,низ диапазона,True,2025-07
2025-07-04 10:00:00+00:00,USDJPY,BUY,2.5721823218572073,низ диапазона,True,2025-07
2025-07-04 15:00:00+00:00,NZDUSD,BUY,2.106598179925556,низ диапазона,True,2025-07
2025-07-07 00:00:00+00:00,NZDUSD,BUY,3.2747022678933533,низ диапазона,False,2025-07
2025-07-07 05:00:00+00:00,NZDUSD,BUY,2.584234725791233,низ диапазона,False,2025-07
2025-07-07 10:00:00+00:00,EURUSD,BUY,3.662136374043384,низ диапазона,True,2025-07
2025-07-07 15:00:00+00:00,USDCHF,SELL,1.252721351170715,RSI перекупленность,False,2025-07
2025-07-07 20:00:00+00:00,AUDUSD,BUY,1.8598596906664204,низ диапазона,True,2025-07
2025-07-08 05:00:00+00:00,AUDUSD,SELL,0.5097702217833193,верх диапазона + тренд вниз,True,2025-07
2025-07-08 10:00:00+00:00,GBPUSD,BUY,2.1726634111221106,низ диапазона,False,2025-07
2025-07-08 20:00:00+00:00,USDCHF,BUY,1.2155888768842305,низ диапазона,True,2025-07
2025-07-09 10:00:00+00:00,EURJPY,BUY,2.2065184318511624,низ диапазона,False,2025-07
2025-07-09 15:00:00+00:00,EURJPY,BUY,1.143570301645985,RSI перепроданность,False,2025-07
2025-07-09 20:00:00+00:00,USDJPY,BUY,3.6916300317975823,низ диапазона,False,2025-07
2025-07-10 00:00:00+00:00,USDJPY,BUY,4.497140048878121,низ диапазона,True,2025-07
2025-07-10 05:00:00+00:00,EURUSD,SELL,1.621697633123281,RSI перекупленность,True,2025-07
2025-07-10 10:00:00+00:00,NZDUSD,SELL,2.78202150282155,верх диапазона + тренд вниз,True,2025-07
2025-07-10 15:00:00+00:00,EURUSD,BUY,2.210094984362332,RSI перепроданность,True,2025-07
2025-07-10 20:00:00+00:00,USDCAD,BUY,1.965753132432946,низ диапазона,True,2025-07
2025-07-11 00:00:00+00:00,EURUSD,BUY,2.617236562154858,низ диапазона,True,2025-07
2025-07-11 05:00:00+00:00,EURUSD,BUY,0.4808505536098041,низ диапазона,True,2025-07
2025-07-11 10:00:00+00:00,GBPUSD,BUY,2.759969971830184,низ диапазона,False,2025-07
2025-07-11 15:00:00+00:00,GBPUSD,BUY,1.5627210831421878,низ диапазона,False,2025-07
2025-07-11 20:00:00+00:00,GBPUSD,BUY,2.025512142736793,низ диапазона,False,2025-07
2025-07-14 00:00:00+00:00,GBPUSD,BUY,1.6788814481132914,низ диапазона,False,2025-07
2025-07-14 05:00:00+00:00,NZDUSD,BUY,3.225956844893238,низ диапазона,True,2025-07
2025-07-14 10:00:00+00:00,USDCAD,BUY,1.9027225278308137,низ диапазона,True,2025-07
2025-07-14 15:00:00+00:00,AUDUSD,BUY,2.987749938323977,низ диапазона,False,2025-07
2025-07-14 20:00:00+00:00,AUDUSD,BUY,2.7759688981953303,низ диапазона,True,2025-07
2025-07-15 00:00:00+00:00,GBPUSD,BUY,2.503694680806279,низ диапазона,True,2025-07
2025-07-15 10:00:00+00:00,NZDUSD,SELL,2.704897048072847,верх диапазона + тренд вниз,True,2025-07
2025-07-15 15:00:00+00:00,EURUSD,BUY,1.8733910700085024,низ диапазона,False,2025-07
2025-07-15 20:00:00+00:00,EURUSD,BUY,3.116290789030107,низ диапазона,True,2025-07
2025-07-16 00:00:00+00:00,EURUSD,BUY,2.77255269737537,низ диапазона,True,2025-07
2025-07-16 10:00:00+00:00,USDJPY,BUY,1.081934910505576,низ диапазона,False,2025-07
2025-07-16 20:00:00+00:00,EURJPY,BUY,2.4042218127678474,низ диапазона,True,2025-07
2025-07-17 05:00:00+00:00,AUDUSD,BUY,1.3737307253150415,низ диапазона,False,2025-07
2025-07-17 10:00:00+00:00,AUDUSD,BUY,3.786354989037904,низ диапазона,True,2025-07
2025-07-17 20:00:00+00:00,GBPUSD,SELL,0.900415456045234,верх диапазона + тренд вниз,False,2025-07
2025-07-18 00:00:00+00:00,AUDUSD,SELL,2.2469207698876206,верх диапазона + тренд вниз,True,2025-07
2025-07-18 05:00:00+00:00,AUDUSD,SELL,0.4140867519615477,верх диапазона + тренд вниз,False,2025-07
2025-07-18 10:00:00+00:00,USDCHF,BUY,4.032190615245361,низ диапазона,False,2025-07
2025-07-18 20:00:00+00:00,GBPUSD,BUY,1.7929253665904945,низ диапазона,True,2025-07
2025-07-21 00:00:00+00:00,EURJPY,BUY,3.848272206416771,низ диапазона,True,2025-07
2025-07-21 10:00:00+00:00,USDJPY,BUY,4.039215899903448,низ диапазона,False,2025-07
2025-07-21 15:00:00+00:00,USDJPY,BUY,4.932404610435049,низ диапазона,True,2025-07
2025-07-21 20:00:00+00:00,USDJPY,BUY,2.3712600079872903,низ диапазона,True,2025-07
2025-07-22 05:00:00+00:00,NZDUSD,BUY,4.151857905527012,низ диапазона,False,2025-07
2025-07-22 15:00:00+00:00,USDCHF,BUY,3.9102727395449906,низ диапазона,False,2025-07
2025-07-22 20:00:00+00:00,USDCAD,BUY,4.1635736758455995,низ диапазона,False,2025-07
2025-07-23 00:00:00+00:00,USDCAD,BUY,4.343988642482858,низ диапазона,True,2025-07
2025-07-23 05:00:00+00:00,USDJPY,SELL,1.1044248141338233,RSI перекупленность,True,2025-07
2025-07-23 10:00:00+00:00,EURJPY,BUY,2.7719920624317345,низ диапазона,True,2025-07
2025-07-23 20:00:00+00:00,USDCHF,BUY,1.16586383457134,низ диапазона,True,2025-07
2025-07-24 05:00:00+00:00,USDJPY,BUY,2.028685904619602,низ диапазона,True,2025-07
2025-07-24 10:00:00+00:00,GBPUSD,BUY,3.7060121309708283,низ диапазона,False,2025-07
2025-07-24 15:00:00+00:00,GBPUSD,BUY,3.8524572496242637,низ диапазона,False,2025-07
2025-07-24 20:00:00+00:00,GBPUSD,BUY,3.333300244344288,низ диапазона,False,2025-07
2025-07-25 00:00:00+00:00,GBPUSD,BUY,1.850540824740339,низ диапазона,False,2025-07
2025-07-25 10:00:00+00:00,EURUSD,BUY,3.161698669347408,низ диапазона,True,2025-07
2025-07-25 15:00:00+00:00,AUDUSD,BUY,3.57226218571747,низ диапазона,True,2025-07
2025-07-25 20:00:00+00:00,GBPUSD,BUY,1.66204585971599,RSI перепроданность,True,2025-07
2025-07-28 00:00:00+00:00,USDCHF,BUY,1.1688298426951123,низ диапазона,True,2025-07
2025-07-28 10:00:00+00:00,EURUSD,BUY,4.176915431353688,низ диапазона,False,2025-07
2025-07-28 15:00:00+00:00,EURJPY,BUY,5.30265780302235,низ диапазона,False,2025-07
2025-07-28 20:00:00+00:00,EURJPY,BUY,5.325382895314172,низ диапазона,True,2025-07
2025-07-29 00:00:00+00:00,EURUSD,BUY,3.9932806290128315,низ диапазона,False,2025-07
2025-07-29 05:00:00+00:00,EURJPY,BUY,3.3284897061435563,низ диапазона,True,2025-07
2025-07-29 15:00:00+00:00,EURUSD,BUY,1.5516676197681563,низ диапазона,True,2025-07
2025-07-30 00:00:00+00:00,USDJPY,BUY,3.334439669318172,низ диапазона,False,2025-07
2025-07-30 05:00:00+00:00,USDJPY,BUY,2.2107124428614893,низ диапазона,True,2025-07
2025-07-30 10:00:00+00:00,AUDUSD,BUY,2.6518482957164844,низ диапазона,False,2025-07
2025-07-30 15:00:00+00:00,AUDUSD,BUY,4.491531977157741,низ диапазона,False,2025-07
2025-07-30 20:00:00+00:00,EURUSD,BUY,4.340690184741023,низ диапазона,True,2025-07
2025-07-31 00:00:00+00:00,GBPUSD,BUY,2.398036073991813,низ диапазона,True,2025-07
2025-07-31 10:00:00+00:00,EURJPY,SELL,1.4467036529603428,верх диапазона + тренд вниз,False,2025-07
2025-07-31 15:00:00+00:00,AUDUSD,BUY,2.378410467238595,низ диапазона,False,2025-07
2025-07-31 20:00:00+00:00,AUDUSD,BUY,3.679990945940194,низ диапазона,True,2025-07
2025-08-01 00:00:00+00:00,EURJPY,SELL,1.560397933769376,верх диапазона + тренд вниз,True,2025-08
2025-08-01 05:00:00+00:00,NZDUSD,BUY,1.1203249996309355,низ диапазона,False,2025-08
2025-08-01 10:00:00+00:00,EURJPY,BUY,2.647384839818244,низ диапазона,False,2025-08
2025-08-01 15:00:00+00:00,USDJPY,BUY,3.9233374595221893,низ диапазона,False,2025-08
2025-08-01 20:00:00+00:00,USDJPY,BUY,5.316724197533399,низ диапазона,True,2025-08
2025-08-04 00:00:00+00:00,USDJPY,BUY,3.893916553953277,низ диапазона,True,2025-08
2025-08-04 05:00:00+00:00,USDJPY,BUY,0.9204046611974219,низ диапазона,False,2025-08
2025-08-04 10:00:00+00:00,GBPUSD,SELL,0.415771304559087,верх диапазона + тренд вниз,True,2025-08
2025-08-04 15:00:00+00:00,EURJPY,BUY,3.5572724908063202,низ диапазона,False,2025-08
2025-08-04 20:00:00+00:00,EURJPY,BUY,1.9761881348110506,низ диапазона,False,2025-08
2025-08-05 00:00:00+00:00,EURJPY,BUY,3.365029183317943,низ диапазона,False,2025-08
2025-08-05 05:00:00+00:00,EURUSD,BUY,2.079454718366089,низ диапазона,False,2025-08
2025-08-05 10:00:00+00:00,USDJPY,SELL,0.7108136217892259,верх диапазона + тренд вниз,True,2025-08
2025-08-05 15:00:00+00:00,EURJPY,SELL,2.4997471503102577,верх диапазона + тренд вниз,False,2025-08
2025-08-05 20:00:00+00:00,EURJPY,SELL,2.3190779570165914,верх диапазона + тренд вниз,True,2025-08
2025-08-06 00:00:00+00:00,USDCHF,BUY,1.7647822430248308,RSI перепроданность,False,2025-08
2025-08-06 05:00:00+00:00,USDCAD,BUY,1.1123019377015464,низ диапазона,False,2025-08
2025-08-06 10:00:00+00:00,USDCAD,BUY,3.3389695104463977,низ диапазона,False,2025-08
2025-08-06 15:00:00+00:00,USDCHF,BUY,2.9928017959732744,низ диапазона,True,2025-08
2025-08-06 20:00:00+00:00,EURJPY,SELL,2.243150197974318,RSI перекупленность,False,2025-08
2025-08-07 15:00:00+00:00,AUDUSD,BUY,0.8715728307700241,низ диапазона,True,2025-08
2025-08-08 10:00:00+00:00,USDJPY,SELL,1.6256746457618614,верх диапазона + тренд вниз,True,2025-08
2025-08-11 00:00:00+00:00,NZDUSD,BUY,2.2121561438765855,низ диапазона,True,2025-08
2025-08-11 05:00:00+00:00,USDCHF,BUY,2.412266846984881,низ диапазона,True,2025-08
2025-08-11 10:00:00+00:00,NZDUSD,BUY,1.3966474260976594,низ диапазона,False,2025-08
2025-08-11 15:00:00+00:00,EURUSD,BUY,2.151149965211717,низ диапазона,True,2025-08
2025-08-12 05:00:00+00:00,AUDUSD,BUY,2.3791629601747384,низ диапазона,False,2025-08
2025-08-12 10:00:00+00:00,AUDUSD,BUY,3.620261502945535,низ диапазона,True,2025-08
2025-08-12 20:00:00+00:00,USDCHF,BUY,3.453943362161926,низ диапазона,True,2025-08
2025-08-13 00:00:00+00:00,USDCHF,BUY,3.5520931389063897,низ диапазона,True,2025-08
2025-08-13 05:00:00+00:00,USDCHF,BUY,1.885713891569805,низ диапазона,False,2025-08
2025-08-13 10:00:00+00:00,USDCAD,BUY,1.4410248278723137,низ диапазона,True,2025-08
2025-08-13 15:00:00+00:00,USDJPY,BUY,2.295557348808876,низ диапазона,True,2025-08
2025-08-14 00:00:00+00:00,EURJPY,BUY,4.213033843834233,низ диапазона,False,2025-08
2025-08-14 05:00:00+00:00,EURJPY,BUY,4.263728478274239,низ диапазона,False,2025-08
2025-08-14 10:00:00+00:00,NZDUSD,BUY,3.453958808267469,низ диапазона,False,2025-08
2025-08-14 15:00:00+00:00,NZDUSD,BUY,4.853434956876848,низ диапазона,True,2025-08
2025-08-14 20:00:00+00:00,AUDUSD,BUY,2.785366494102448,низ диапазона,True,2025-08
2025-08-15 00:00:00+00:00,GBPUSD,BUY,2.116183945460632,низ диапазона,True,2025-08
2025-08-15 05:00:00+00:00,USDJPY,BUY,1.5756258849757483,RSI перепроданность,False,2025-08
2025-08-15 10:00:00+00:00,USDCAD,BUY,3.640102516325917,низ диапазона,True,2025-08
2025-08-18 00:00:00+00:00,USDJPY,SELL,1.8025958679237055,верх диапазона + тренд вниз,True,2025-08
2025-08-18 10:00:00+00:00,GBPUSD,BUY,1.9696392010118597,низ диапазона,False,2025-08
2025-08-18 15:00:00+00:00,EURUSD,BUY,3.2183336987777773,низ диапазона,False,2025-08
2025-08-18 20:00:00+00:00,GBPUSD,BUY,4.34623780647157,низ диапазона,False,2025-08
2025-08-19 00:00:00+00:00,GBPUSD,BUY,4.103430692212363,низ диапазона,False,2025-08
2025-08-19 05:00:00+00:00,AUDUSD,BUY,2.906033891225872,низ диапазона,True,2025-08
2025-08-19 10:00:00+00:00,USDCHF,BUY,3.0951368435189903,низ диапазона,True,2025-08
2025-08-19 15:00:00+00:00,AUDUSD,BUY,3.3226300955523476,низ диапазона,False,2025-08
2025-08-19 20:00:00+00:00,NZDUSD,BUY,3.7314302989823096,низ диапазона,False,2025-08
2025-08-20 00:00:00+00:00,EURUSD,BUY,4.137829145148693,низ диапазона,False,2025-08
2025-08-20 05:00:00+00:00,NZDUSD,BUY,3.3729060348583144,низ диапазона,False,2025-08
2025-08-20 10:00:00+00:00,NZDUSD,BUY,3.184263785922071,низ диапазона,False,2025-08
2025-08-20 15:00:00+00:00,USDCHF,BUY,3.4417964107620964,низ диапазона,False,2025-08
2025-08-20 20:00:00+00:00,USDCHF,BUY,2.5371509662351404,низ диапазона,True,2025-08
2025-08-21 00:00:00+00:00,GBPUSD,BUY,1.708065616244722,низ диапазона,False,2025-08
2025-08-21 10:00:00+00:00,USDJPY,SELL,2.291120749328039,верх диапазона + тренд вниз,False,2025-08
2025-08-21 15:00:00+00:00,GBPUSD,BUY,2.7801448513850753,низ диапазона,False,2025-08
2025-08-21 20:00:00+00:00,GBPUSD,BUY,1.9194351849688507,низ диапазона,False,2025-08
2025-08-22 00:00:00+00:00,GBPUSD,BUY,2.4921549012170363,низ диапазона,False,2025-08
2025-08-22 05:00:00+00:00,NZDUSD,BUY,2.9126682447496632,низ диапазона,True,2025-08
2025-08-22 10:00:00+00:00,NZDUSD,BUY,1.312104923749416,низ диапазона,True,2025-08
2025-08-22 15:00:00+00:00,USDJPY,BUY,3.650486335645371,низ диапазона,True,2025-08
2025-08-22 20:00:00+00:00,USDCHF,BUY,3.7820279717580085,низ диапазона,True,2025-08
2025-08-25 00:00:00+00:00,NZDUSD,SELL,1.8788803019992866,RSI перекупленность,False,2025-08
2025-08-25 15:00:00+00:00,EURUSD,BUY,2.574310230372123,низ диапазона,False,2025-08
2025-08-25 20:00:00+00:00,EURUSD,BUY,3.62135185448059,низ диапазона,True,2025-08
2025-08-26 00:00:00+00:00,EURJPY,BUY,3.7364223615874406,низ диапазона,True,2025-08
2025-08-26 15:00:00+00:00,USDCAD,BUY,2.4288123623255533,низ диапазона,True,2025-08
2025-08-26 20:00:00+00:00,USDCHF,BUY,3.1502954618307886,низ диапазона,True,2025-08
2025-08-27 05:00:00+00:00,NZDUSD,BUY,3.2253740247748173,низ диапазона,False,2025-08
2025-08-27 10:00:00+00:00,NZDUSD,BUY,4.637494624419636,низ диапазона,True,2025-08
2025-08-27 20:00:00+00:00,USDCHF,BUY,2.7596053900187076,низ диапазона,False,2025-08
2025-08-28 00:00:00+00:00,USDCHF,BUY,4.320402335607393,низ диапазона,False,2025-08
2025-08-28 05:00:00+00:00,USDJPY,BUY,2.920812494770991,низ диапазона,False,2025-08
2025-08-28 10:00:00+00:00,USDCHF,BUY,3.53595081843312,низ диапазона,True,2025-08
2025-08-28 15:00:00+00:00,USDCAD,BUY,2.1431427151992417,низ диапазона,False,2025-08
2025-08-28 20:00:00+00:00,USDCAD,BUY,1.317618493601092,RSI перепроданность,False,2025-08
2025-08-29 00:00:00+00:00,USDCAD,BUY,0.8109926311093631,низ диапазона,True,2025-08
2025-08-29 10:00:00+00:00,GBPUSD,BUY,4.0687497429156565,низ диапазона,True,2025-08
2025-08-29 15:00:00+00:00,USDCAD,BUY,1.895670320086987,низ диапазона,True,2025-08
2025-09-01 00:00:00+00:00,EURJPY,SELL,1.5808460100559318,верх диапазона + тренд вниз,True,2025-09
2025-09-01 15:00:00+00:00,USDCAD,SELL,0.17815434262242008,верх диапазона + тренд вниз,True,2025-09
2025-09-02 00:00:00+00:00,EURUSD,BUY,1.734333166924858,низ диапазона,False,2025-09
2025-09-02 05:00:00+00:00,GBPUSD,BUY,3.908349788489253,низ диапазона,False,2025-09
2025-09-02 10:00:00+00:00,GBPUSD,BUY,4.82547510756319,низ диапазона,True,2025-09
2025-09-02 15:00:00+00:00,GBPUSD,BUY,1.4741212694215982,RSI перепроданность,True,2025-09
2025-09-02 20:00:00+00:00,GBPUSD,BUY,1.149353472139632,RSI перепроданность,False,2025-09
2025-09-03 15:00:00+00:00,USDJPY,BUY,3.761820841157631,низ диапазона,True,2025-09
2025-09-03 20:00:00+00:00,USDJPY,BUY,1.9583450903691382,низ диапазона,False,2025-09
2025-09-04 00:00:00+00:00,EURJPY,BUY,2.9725617830597475,низ диапазона,True,2025-09
2025-09-04 05:00:00+00:00,AUDUSD,BUY,4.141512449458857,низ диапазона,False,2025-09
2025-09-04 10:00:00+00:00,AUDUSD,BUY,3.7866667766082376,низ диапазона,False,2025-09
2025-09-04 15:00:00+00:00,NZDUSD,BUY,4.234291960417072,низ диапазона,True,2025-09
2025-09-05 00:00:00+00:00,USDCAD,BUY,1.154273412017216,низ диапазона,False,2025-09
2025-09-05 05:00:00+00:00,USDCAD,BUY,3.5170419140213784,низ диапазона,False,2025-09
2025-09-05 10:00:00+00:00,USDCHF,BUY,3.2091815911962747,низ диапазона,False,2025-09
2025-09-05 15:00:00+00:00,USDJPY,BUY,4.930788052418515,низ диапазона,True,2025-09
2025-09-05 20:00:00+00:00,USDCHF,BUY,1.5495856722801378,RSI перепроданность,True,2025-09
2025-09-08 10:00:00+00:00,USDCAD,BUY,3.2149933166232136,низ диапазона,True,2025-09
2025-09-08 15:00:00+00:00,USDCHF,BUY,3.626481955109959,низ диапазона,False,2025-09
2025-09-08 20:00:00+00:00,USDCHF,BUY,3.3506923326361306,низ диапазона,False,2025-09
2025-09-09 00:00:00+00:00,USDCHF,BUY,2.6876259151458965,низ диапазона,False,2025-09
2025-09-09 05:00:00+00:00,EURJPY,BUY,4.079267004209679,низ диапазона,False,2025-09
2025-09-09 10:00:00+00:00,EURJPY,BUY,5.32073895628629,низ диапазона,True,2025-09
2025-09-09 15:00:00+00:00,EURUSD,BUY,2.914712697550964,низ диапазона,False,2025-09
2025-09-09 20:00:00+00:00,EURUSD,BUY,3.879498049123862,низ диапазона,False,2025-09
2025-09-10 00:00:00+00:00,EURUSD,BUY,4.62971519211288,низ диапазона,True,2025-09
2025-09-10 05:00:00+00:00,USDJPY,SELL,0.3353816199666664,верх диапазона + тренд вниз,False,2025-09
2025-09-10 20:00:00+00:00,EURJPY,BUY,0.7472089581537444,низ диапазона,False,2025-09
2025-09-11 05:00:00+00:00,GBPUSD,BUY,4.125188452827638,низ диапазона,False,2025-09
2025-09-11 10:00:00+00:00,USDJPY,SELL,2.3099780429296084,верх диапазона + тренд вниз,True,2025-09
